X Gaze Data, Y Gaze Data, Time 
774,447,143299351
769,447,143299363
766,446,143299373
765,446,143299384
764,446,143299409
766,446,143299417
766,446,143299429
767,445,143299440
767,444,143299451
767,444,143299462
767,443,143299472
766,441,143299487
766,441,143299496
766,440,143299506
764,440,143299532
764,439,143299539
762,440,143299551
762,440,143299563
762,440,143299573
762,440,143299584
762,443,143299596
763,444,143299610
763,444,143299618
763,443,143299629
762,440,143299640
762,438,143299651
762,438,143299662
765,437,143299687
765,438,143299696
765,440,143299706
765,440,143299718
766,440,143299733
765,439,143299739
765,440,143299751
763,439,143299763
761,438,143299772
762,438,143299784
763,435,143299801
763,433,143299808
762,431,143299824
762,431,143299829
765,433,143299840
768,431,143299851
789,419,143299865
872,371,143299890
902,352,143299896
916,342,143299906
928,334,143299930
942,320,143299933
943,314,143299939
944,311,143299965
946,311,143299972
946,312,143299988
946,312,143299997
946,313,143300006
947,314,143300017
947,315,143300044
947,315,143300050
946,316,143300062
946,317,143300075
946,317,143300084
946,317,143300095
946,317,143300106
945,316,143300117
945,316,143300129
946,317,143300154
944,317,143300162
944,318,143300172
944,318,143300185
946,318,143300195
945,317,143300205
945,317,143300232
946,317,143300239
945,316,143300251
946,316,143300264
944,316,143300272
944,316,143300284
945,316,143300295
945,315,143300310
945,313,143300317
945,311,143300328
944,309,143300341
944,310,143300350
942,315,143300361
937,328,143300381
933,337,143300388
928,353,143300403
916,382,143300405
915,382,143300434
911,390,143300439
911,390,143300464
911,391,143300472
911,392,143300484
910,392,143300495
909,390,143300511
909,390,143300517
907,391,143300542
908,390,143300550
908,390,143300561
909,390,143300573
910,390,143300585
912,394,143300595
914,394,143300606
917,396,143300620
918,397,143300628
920,397,143300639
920,397,143300652
920,395,143300661
921,395,143300672
921,396,143300699
921,399,143300705
921,399,143300717
921,399,143300730
920,398,143300739
919,397,143300750
919,399,143300764
923,400,143300778
924,402,143300785
923,400,143300809
921,399,143300816
922,399,143300828
914,396,143300855
914,397,143300862
889,387,143300887
779,333,143300894
767,328,143300918
737,316,143300928
725,310,143300938
693,295,143300965
695,296,143300972
690,294,143300997
690,296,143301005
695,305,143301016
695,305,143301029
695,305,143301038
695,304,143301050
695,304,143301061
695,303,143301076
695,302,143301083
694,300,143301094
692,298,143301107
691,297,143301117
689,294,143301128
689,294,143301139
688,293,143301149
688,294,143301161
688,294,143301171
686,294,143301185
684,295,143301194
684,297,143301205
684,298,143301231
684,298,143301238
687,299,143301250
687,300,143301261
688,300,143301271
695,302,143301283
699,304,143301309
701,306,143301317
699,305,143301327
699,305,143301340
698,303,143301350
698,303,143301361
697,303,143301371
696,304,143301386
696,304,143301394
697,307,143301404
698,309,143301418
698,310,143301427
697,310,143301438
697,310,143301466
697,312,143301471
697,313,143301483
696,313,143301497
696,312,143301504
696,312,143301516
696,312,143301528
697,315,143301544
697,315,143301550
697,316,143301561
698,317,143301571
698,318,143301583
699,318,143301594
699,319,143301604
698,320,143301616
697,320,143301628
695,319,143301638
695,315,143301651
695,314,143301661
694,316,143301671
694,316,143301697
693,317,143301704
693,316,143301716
693,316,143301729
694,316,143301737
694,317,143301749
694,317,143301776
688,317,143301782
690,316,143301807
695,311,143301816
694,311,143301827
693,311,143301839
691,308,143301849
691,309,143301861
691,308,143301887
691,309,143301893
691,310,143301904
692,310,143301918
693,310,143301927
692,309,143301938
691,309,143301949
